iter	Passed	Remaining
489	639	665
490	640	664
491	641	662
492	642	661
493	644	659
494	645	658
495	646	656
496	647	655
497	649	654
498	650	653
499	651	651
500	652	650
501	654	648
502	655	647
503	656	646
504	658	645
505	659	643
506	660	642
507	661	640
508	662	639
509	663	637
510	665	636
511	666	635
512	667	634
513	669	632
514	670	631
515	671	630
516	673	628
517	674	627
518	675	626
519	676	624
520	677	623
521	679	622
522	680	621
523	682	619
524	683	618
525	684	616
526	685	615
527	687	614
528	688	612
529	689	611
530	691	610
531	692	609
532	693	607
533	694	606
534	695	604
535	697	603
536	698	602
537	699	600
538	700	599
539	701	597
540	703	596
541	704	595
542	705	593
543	706	592
544	708	591
545	709	589
546	710	588
547	711	587
548	713	586
549	714	584
550	715	583
551	716	581
552	718	580
553	719	579
554	720	578
555	722	576
556	723	575
557	724	573
558	725	572
559	727	571
560	728	569
561	729	568
562	730	567
563	732	565
564	733	564
565	734	563
566	735	561
567	737	560
568	738	559
569	739	557
570	740	556
571	741	554
572	743	553
573	744	552
574	745	551
575	746	549
576	748	548
577	749	547
578	750	545
579	751	544
580	753	543
581	754	541
582	755	540
583	757	539
584	758	538
585	759	536
586	761	535
587	762	534
588	763	532
589	764	531
590	765	529
591	767	528
592	768	527
593	769	526
594	771	524
595	772	523
596	773	522
597	774	520
598	776	519
599	777	518
600	778	516
601	779	515
602	781	514
603	782	512
604	783	511
605	784	510
606	786	508
607	787	507
608	789	506
609	790	505
610	791	504
611	792	502
612	794	501
613	795	500
614	797	499
615	798	497
616	799	496
617	801	495
618	802	493
619	803	492
620	805	491
621	807	490
622	808	489
623	809	487
624	811	486
625	812	485
626	814	484
627	815	482
628	816	481
629	817	480
630	819	479
631	820	477
632	821	476
633	823	475
634	824	473
635	825	472
636	826	471
637	828	469
638	829	468
639	830	467
640	831	465
641	833	464
642	834	463
643	835	462
644	837	460
645	838	459
646	839	458
647	840	456
648	842	455
649	843	454
650	844	452
651	846	451
652	847	450
653	849	449
654	850	448
655	851	446
656	852	445
657	854	444
658	855	442
659	856	441
660	858	440
661	859	438
662	860	437
663	861	436
664	863	434
665	864	433
666	865	432
667	867	430
668	868	429
669	869	428
670	870	426
671	871	425
672	873	424
673	874	422
674	875	421
675	877	420
676	878	419
677	879	417
678	881	416
679	882	415
680	884	414
681	885	412
682	886	411
683	888	410
684	889	408
685	890	407
686	891	406
687	892	404
688	894	403
689	895	402
690	896	400
691	898	399
692	899	398
693	900	397
694	901	395
695	903	394
696	904	393
697	905	391
698	906	390
699	908	389
700	909	387
701	910	386
702	911	385
703	913	383
704	914	382
705	915	381
706	917	380
707	918	378
708	919	377
709	920	376
710	921	374
711	923	373
712	924	372
713	925	370
714	926	369
715	928	368
716	929	366
717	930	365
718	931	364
719	933	362
720	934	361
721	935	360
722	936	358
723	937	357
724	939	356
725	941	355
726	942	353
727	943	352
728	945	351
729	946	350
730	947	348
731	948	347
732	950	346
733	951	344
734	952	343
735	953	342
736	954	340
737	956	339
738	957	338
739	958	336
740	959	335
741	961	334
742	963	333
743	964	331
744	966	330
745	967	329
746	968	328
747	970	326
748	971	325
749	972	324
750	973	322
751	975	321
752	976	320
753	978	319
754	979	317
755	980	316
756	981	315
757	982	313
758	984	312
759	985	311
760	986	309
761	987	308
762	988	307
763	990	305
764	991	304
765	992	303
766	994	301
767	995	300
768	996	299
769	997	298
770	999	296
771	1000	295
772	1001	294
773	1002	292
774	1004	291
775	1005	290
776	1006	288
777	1008	287
778	1009	286
779	1010	284
780	1011	283
781	1012	282
782	1014	281
783	1015	279
784	1016	278
785	1017	277
786	1018	275
787	1020	274
788	1021	273
789	1022	271
790	1023	270
791	1024	269
792	1026	267
793	1027	266
794	1028	265
795	1030	264
796	1031	262
797	1032	261
798	1034	260
799	1035	258
800	1036	257
801	1037	256
802	1038	254
803	1040	253
804	1041	252
805	1042	250
806	1043	249
807	1045	248
808	1046	247
809	1047	245
810	1048	244
811	1050	243
812	1051	241
813	1052	240
814	1053	239
815	1055	237
816	1056	236
817	1057	235
818	1058	234
819	1060	232
820	1061	231
821	1062	230
822	1064	228
823	1065	227
824	1066	226
825	1067	224
826	1069	223
827	1070	222
828	1071	221
829	1073	219
830	1074	218
831	1075	217
832	1076	215
833	1077	214
834	1079	213
835	1080	211
836	1081	210
837	1083	209
838	1084	208
839	1085	206
840	1087	205
841	1088	204
842	1089	202
843	1090	201
844	1092	200
845	1093	199
846	1094	197
847	1095	196
848	1097	195
849	1099	193
850	1100	192
851	1101	191
852	1102	190
853	1104	188
854	1106	187
855	1107	186
856	1108	184
857	1109	183
858	1111	182
859	1112	181
860	1113	179
861	1114	178
862	1115	177
863	1117	175
864	1118	174
865	1119	173
866	1120	171
867	1122	170
868	1123	169
869	1124	168
870	1125	166
871	1127	165
872	1128	164
873	1129	162
874	1130	161
875	1131	160
876	1133	158
877	1135	157
878	1136	156
879	1137	155
880	1138	153
881	1140	152
882	1141	151
883	1142	149
884	1143	148
885	1145	147
886	1146	146
887	1147	144
888	1148	143
889	1149	142
890	1150	140
891	1152	139
892	1153	138
893	1155	136
894	1157	135
895	1158	134
896	1159	133
897	1160	131
898	1162	130
899	1163	129
900	1164	127
901	1165	126
902	1166	125
903	1168	124
904	1169	122
905	1170	121
906	1171	120
907	1172	118
908	1174	117
909	1175	116
910	1176	114
911	1177	113
912	1178	112
913	1180	111
914	1181	109
915	1182	108
916	1183	107
917	1185	105
918	1186	104
919	1187	103
920	1188	101
921	1190	100
922	1191	99
923	1193	98
924	1194	96
925	1196	95
926	1197	94
927	1198	93
928	1199	91
929	1201	90
930	1202	89
931	1203	87
932	1205	86
933	1206	85
934	1207	83
935	1209	82
936	1210	81
937	1211	80
938	1213	78
939	1214	77
940	1215	76
941	1217	74
942	1218	73
943	1219	72
944	1220	71
945	1221	69
946	1222	68
947	1226	67
948	1227	65
949	1228	64
950	1240	63
951	1242	62
952	1243	61
953	1244	60
954	1245	58
955	1247	57
956	1248	56
957	1249	54
958	1250	53
959	1252	52
960	1253	50
961	1254	49
962	1256	48
963	1257	46
964	1258	45
965	1260	44
966	1261	43
967	1262	41
968	1264	40
969	1265	39
970	1266	37
971	1268	36
972	1269	35
973	1271	33
974	1272	32
975	1274	31
976	1276	30
977	1277	28
978	1278	27
979	1281	26
980	1282	24
981	1284	23
982	1285	22
983	1290	20
984	1294	19
985	1298	18
986	1300	17
987	1303	15
988	1308	14
989	1309	13
990	1310	11
991	1312	10
992	1314	9
993	1316	7
994	1318	6
995	1319	5
996	1320	3
997	1321	2
998	1322	1
999	1324	0
