iter	RMSE
265	0.4604718249
266	0.4602724989
267	0.4600279234
268	0.459859633
269	0.4597730753
270	0.459575268
271	0.4594205884
272	0.4591881151
273	0.4591349776
274	0.4588664464
275	0.4587504236
276	0.4584052079
277	0.4583582732
278	0.4580959142
279	0.4579099525
280	0.4576893061
281	0.4575955935
282	0.4574740434
283	0.4572691433
284	0.4570656813
285	0.4568968042
286	0.4567228756
287	0.4564955222
288	0.4562881684
289	0.4560041227
290	0.4558878388
291	0.4556361042
292	0.4554269956
293	0.4552392663
294	0.4551120153
295	0.4549493219
296	0.4548588544
297	0.4546742588
298	0.4543674556
299	0.4541178544
300	0.4539066093
301	0.4538054184
302	0.4535398912
303	0.4533507227
304	0.4531399065
305	0.4529431662
306	0.4528164365
307	0.4526384745
308	0.4524521328
309	0.4523034817
310	0.4521253252
311	0.451981909
312	0.4517491151
313	0.451566687
314	0.4513657508
315	0.4512557525
316	0.4511547062
317	0.4509832844
318	0.4507176674
319	0.4505103183
320	0.4503516964
321	0.4503451341
322	0.4500927523
323	0.4499034982
324	0.4496617655
325	0.4494897371
326	0.4493585356
327	0.4491249852
328	0.4490670986
329	0.4488786622
330	0.4487686104
331	0.4484836028
332	0.4482644058
333	0.4481572405
334	0.448151017
335	0.4480015266
336	0.4479030084
337	0.4478363356
338	0.4476019765
339	0.4475980395
340	0.4474459994
341	0.4472071471
342	0.4471048638
343	0.4469514457
344	0.4468614161
345	0.446757163
346	0.4466112605
347	0.4465325942
348	0.4465223501
349	0.4462899046
350	0.4461620612
351	0.4460580072
352	0.4458864809
353	0.4457127992
354	0.4457031268
355	0.4455333143
356	0.4453681467
357	0.4452418318
358	0.4450719189
359	0.4448637473
360	0.4447702451
361	0.4445775516
362	0.4443655058
363	0.4441761112
364	0.4439609721
365	0.4438203319
366	0.4436706948
367	0.4434451306
368	0.4433328848
369	0.4431823317
370	0.4430745422
371	0.4429653919
372	0.4427935012
373	0.4425342106
374	0.4423482003
375	0.4422353277
376	0.4421175834
377	0.442014544
378	0.4419069923
379	0.4418041
380	0.4417187007
381	0.4414961922
382	0.4413824286
383	0.4411848145
384	0.4409952915
385	0.440751461
386	0.4404998387
387	0.4403520982
388	0.4402105741
389	0.4399956244
390	0.4398195571
391	0.4397358845
392	0.4395978772
393	0.4393617422
394	0.439178483
395	0.4390577439
396	0.4390534702
397	0.438839794
398	0.4386656013
399	0.438506957
400	0.4383007551
401	0.4381543426
402	0.438086597
403	0.43793989
404	0.4378487142
405	0.4375706083
406	0.4373984269
407	0.4372098989
408	0.4370611726
409	0.4369572372
410	0.4367084921
411	0.4364859274
412	0.4364817231
413	0.4363910866
414	0.4363135391
415	0.4362580343
416	0.4361733575
417	0.4360550956
418	0.4359237972
419	0.4358552332
420	0.4357078759
421	0.4355138638
422	0.4353819501
423	0.4353422083
424	0.4352207412
425	0.4351220626
426	0.435117181
427	0.4348349529
428	0.4347378188
429	0.4345328968
430	0.4343929663
431	0.4342141912
432	0.4340685007
433	0.433928768
434	0.4337644721
435	0.4337599009
436	0.4336348041
437	0.4336308289
438	0.4335257235
439	0.4334021453
440	0.4332634676
441	0.4330841243
442	0.4329077035
443	0.4329037281
444	0.432756285
445	0.4326481157
446	0.4324298974
447	0.4323371112
448	0.4322270806
449	0.4320453986
450	0.4318571976
451	0.4316977791
452	0.43154335
453	0.4315054228
454	0.4314308046
455	0.4314269475
456	0.4313005135
457	0.4311844315
458	0.431131874
459	0.4309541779
460	0.4308160466
461	0.4306624356
462	0.430476217
463	0.4303536612
464	0.4301749868
465	0.4300230418
466	0.4298829247
467	0.4298326315
468	0.4298288982
469	0.4296831971
470	0.4294879708
471	0.4292975077
472	0.4291246303
473	0.4290597782
474	0.4289629781
475	0.4288850373
476	0.4287726353
477	0.4286339218
478	0.4285618341
479	0.4283905831
480	0.4281754364
481	0.427970738
482	0.4278311014
483	0.4276683063
484	0.4275962933
485	0.4273967628
486	0.4272952492
487	0.4270934396
488	0.4269469002
489	0.4267894378
490	0.4265811987
491	0.4265601903
492	0.4264256814
493	0.4263427786
494	0.426164987
495	0.426056882
496	0.4258490967
497	0.4256972489
498	0.4254937243
499	0.4253299048
500	0.4251782152
501	0.425049125
502	0.4248972228
503	0.4248079673
504	0.4246915359
505	0.4245822741
506	0.4245783271
507	0.4244864199
508	0.424386922
509	0.4242369149
510	0.4241020964
511	0.4239736062
512	0.4238453451
513	0.4236858255
514	0.4234781451
515	0.4232842511
516	0.4231954105
517	0.4229740632
518	0.4228956337
519	0.4227322414
520	0.4226405965
521	0.4224673964
522	0.422338683
523	0.4222217137
524	0.4221006038
525	0.4219111719
526	0.4217496
527	0.4216775208
528	0.4215345926
529	0.4214030705
530	0.4213078549
531	0.4211387633
532	0.4211031864
533	0.4210075349
534	0.4208796976
535	0.4206910857
536	0.4206108945
537	0.4205140733
538	0.4204157117
539	0.4203114443
540	0.420212294
541	0.4200175097
542	0.4198926055
543	0.41981381
544	0.4197212148
545	0.4197090001
546	0.4195345088
547	0.4193633983
548	0.4192952237
549	0.4192549792
550	0.4190487007
551	0.4189420466
552	0.4188774435
553	0.4186872057
554	0.418561394
555	0.4184553914
556	0.4184234346
557	0.4182356229
558	0.4180845486
559	0.4179784227
560	0.4179505964
561	0.4177722705
562	0.417673684
563	0.4175105577
564	0.4174540601
565	0.4173014528
566	0.4171550704
567	0.4170961408
568	0.4170094733
569	0.4169357549
570	0.4168315169
571	0.4167467986
572	0.4165693364
573	0.4164840418
574	0.4163488761
575	0.4161192093
576	0.416005723
577	0.4158669778
578	0.4157737108
579	0.4156858764
580	0.4155912162
581	0.4154628919
582	0.4153732001
583	0.4153703573
584	0.4151890082
585	0.4150619398
586	0.4148584692
587	0.4147997904
588	0.4146265034
589	0.4144762552
590	0.4143414602
591	0.414194783
592	0.4140612847
593	0.4138899022
594	0.4137729999
595	0.4136692391
596	0.4135981653
597	0.4134667626
598	0.4133708468
599	0.4132550342
600	0.4132028713
601	0.4131124412
602	0.4130015238
603	0.4128465821
604	0.4126851083
605	0.4125767849
606	0.4124239903
607	0.4123278848
608	0.4122440597
609	0.4121729402
610	0.4120558967
611	0.4119217062
612	0.4118463961
613	0.41167602
614	0.4115694538
615	0.4114922425
616	0.41137179
617	0.411178782
618	0.4110114124
619	0.4108100092
620	0.4106940155
621	0.4105926419
622	0.41049328
623	0.4104906603
624	0.4103403217
625	0.4102181661
626	0.4101090315
627	0.4099161031
628	0.4098147257
629	0.4097678052
630	0.4096833148
631	0.4095126219
632	0.4093884759
633	0.4091997064
634	0.4090906985
635	0.4090033616
636	0.4088891688
637	0.408795064
638	0.408766988
639	0.4086720143
640	0.4085225424
641	0.4083313235
642	0.4082661143
643	0.4081913237
644	0.4080662221
645	0.4080162125
646	0.4079929456
647	0.4078594041
648	0.4076499908
649	0.4075224815
650	0.4074375936
651	0.4073884542
652	0.4072666888
653	0.4071796026
654	0.4070345786
655	0.4070111558
656	0.4068833155
657	0.4067340839
658	0.406619703
659	0.4065001245
660	0.4063893982
661	0.4062881681
662	0.4061706837
663	0.4060921894
664	0.405997374
665	0.4058695293
666	0.4057708581
667	0.4056522012
668	0.4055227864
669	0.4054682209
670	0.4053355725
671	0.4052489875
672	0.4051243934
673	0.4049924026
674	0.4048719783
675	0.4047307915
676	0.4046873919
677	0.4046614968
678	0.4045300576
679	0.4044289457
680	0.4042670734
681	0.4041578534
682	0.4041040812
683	0.4040203194
684	0.4039406156
685	0.4038864745
686	0.4038185938
687	0.4037186597
688	0.4036072519
689	0.4035579225
690	0.4034721833
691	0.4033638262
692	0.4032597118
693	0.4030761616
694	0.4029539354
695	0.4028548347
696	0.4027780716
697	0.4025705361
698	0.4024423269
699	0.4022627901
700	0.4021851885
701	0.4020109186
702	0.4018448121
703	0.4017492615
704	0.4016218029
705	0.4015372622
706	0.4014489261
707	0.40128015
708	0.4011996592
709	0.4011502424
710	0.4010676501
711	0.4009380889
712	0.4007678781
713	0.4005743307
714	0.4005082038
715	0.400472031
716	0.4004054885
717	0.4002860575
718	0.4001833423
719	0.4000703501
720	0.4000171332
721	0.3999601149
722	0.3997571987
723	0.399689087
724	0.3995242104
725	0.3994197215
726	0.3992551018
727	0.3991508915
728	0.3990103742
729	0.3989243074
730	0.3987955116
731	0.3986378706
732	0.3985248004
733	0.3984549512
734	0.3983714098
735	0.3982118185
736	0.3981218426
737	0.3980416451
738	0.3979537632
739	0.397858404
740	0.3977690339
741	0.3976419747
742	0.3975220186
743	0.3973829281
744	0.3972564566
745	0.3971183057
746	0.3970731511
747	0.3969545712
748	0.3968369552
749	0.3967430241
750	0.3966058345
751	0.3964865461
752	0.3964273598
753	0.3962525386
754	0.3961406786
755	0.3960489424
756	0.3959578269
757	0.3958495154
758	0.3957089993
759	0.3956095481
760	0.3955784449
761	0.3954709386
762	0.3953474818
763	0.3952455962
764	0.3951568727
765	0.3950547346
766	0.3949839391
767	0.3948407838
768	0.3947270481
769	0.3946385769
770	0.3945463682
771	0.3944421703
772	0.3943483269
773	0.3942122758
774	0.3941041723
775	0.3939982806
776	0.3938203605
777	0.3937259578
778	0.3936315327
779	0.3935585165
780	0.3934461022
781	0.3933642303
782	0.3932458745
783	0.3931374775
784	0.3930309128
785	0.3929439996
786	0.3928229398
787	0.3926760281
788	0.3926246602
789	0.3924898587
790	0.3924394754
791	0.3923730696
792	0.3922803002
793	0.3921856827
794	0.392074108
795	0.3919595745
796	0.3918285099
797	0.3917177542
798	0.3915984241
799	0.3915315215
800	0.391379353
801	0.3912879895
802	0.3911606856
803	0.3910345262
804	0.3909531221
805	0.3908828573
806	0.3908257417
807	0.390754359
808	0.3906823165
809	0.3905710648
810	0.3904839646
811	0.3903956281
812	0.3902239532
813	0.3901071572
814	0.3899920414
815	0.3899065022
816	0.3897625717
817	0.3896248402
818	0.3895272355
819	0.3894449531
820	0.3893616635
821	0.3892745407
822	0.3891699172
823	0.3890056771
824	0.3888897148
825	0.3887639366
826	0.3886911605
827	0.3885999164
828	0.3884016166
829	0.3882842043
830	0.3881931404
831	0.3880192408
832	0.3879558723
833	0.3878529228
834	0.3877482971
835	0.387645465
836	0.3875208479
837	0.3874110841
838	0.3873114065
839	0.3872054622
840	0.3870545006
841	0.3869662786
842	0.3868921539
843	0.3868123635
844	0.3867181162
845	0.3866316781
846	0.3864798731
847	0.3863720347
848	0.3862856087
849	0.3862148341
850	0.3860525369
851	0.3859819741
852	0.3858342767
853	0.3857195586
854	0.3855971674
855	0.3854717145
856	0.3853657633
857	0.3852491596
858	0.3851577701
859	0.3850639037
860	0.3849803216
861	0.3849093441
862	0.3847925024
863	0.3846703576
864	0.3845412581
865	0.3844143912
866	0.3842534572
867	0.3841560386
868	0.3841543607
869	0.384095105
870	0.3840238804
871	0.3839520661
872	0.3838953371
873	0.3838447075
874	0.3837856258
875	0.3836870678
876	0.3835910152
877	0.3835596221
878	0.3834738526
879	0.3833978348
880	0.3832730054
881	0.3832713063
882	0.3832037023
883	0.3831064726
884	0.3829873375
885	0.3828895904
886	0.3827743485
887	0.3826606378
888	0.3825086201
889	0.3823917215
890	0.3822633084
891	0.382132911
892	0.382022244
893	0.3819369114
894	0.3818586729
895	0.381764783
896	0.3816649564
897	0.3815918608
898	0.3815169155
899	0.3814858196
900	0.381435781
901	0.3813406008
902	0.3812953486
903	0.3811896146
904	0.3810548298
905	0.3809936295
906	0.3809369201
907	0.3808984493
908	0.3807382292
909	0.3806471147
910	0.3805852517
911	0.3805179509
912	0.3803992519
913	0.3803149703
914	0.3802454475
915	0.3802441615
916	0.3801177985
917	0.380011943
918	0.3799656147
919	0.3798669692
920	0.3798338735
921	0.3797218482
922	0.3796410865
923	0.3795936892
924	0.3794656071
925	0.3794101325
926	0.3794088188
927	0.3793274121
928	0.3792541627
929	0.3791688765
930	0.3790507631
931	0.3789518825
932	0.3788686481
933	0.37878902
934	0.3786829847
935	0.378553579
936	0.3784736199
937	0.3784724711
938	0.3784013443
939	0.3783033173
940	0.378179726
941	0.3780972603
942	0.378039965
943	0.3779851198
944	0.3779027356
945	0.3777877511
946	0.3777408387
947	0.3776769456
948	0.3776002423
949	0.3775341521
950	0.3774657124
951	0.3773775951
952	0.3773046281
953	0.377239023
954	0.3771958201
955	0.377101921
956	0.3770715432
957	0.3769771777
958	0.3769166645
959	0.3768292876
960	0.3767737586
961	0.3766459267
962	0.3765189476
963	0.3764638022
964	0.3764210656
965	0.3762847388
966	0.3762553428
967	0.3761522308
968	0.3760905743
969	0.3760339342
970	0.3759406708
971	0.3758390696
972	0.3757624532
973	0.3756510498
974	0.3755003828
975	0.3754725706
976	0.3753751715
977	0.3752823248
978	0.3752312779
979	0.3751626538
980	0.3750863872
981	0.3749723785
982	0.3749083365
983	0.374816087
984	0.3747348138
985	0.3746335624
986	0.3745110698
987	0.3744206909
988	0.3743572721
989	0.3742352587
990	0.374146792
991	0.3740063645
992	0.3739206868
993	0.3738590913
994	0.3737825783
995	0.3737085966
996	0.373644168
997	0.3735510602
998	0.3735499772
999	0.3734712066
